product_id,product_name,model_number,wish_count,release_date,release_price,color,is_collaboration,trade_count
138416,나이키 줌 보메로 5 SP 블랙,BV1358-003,31000,2023-07-03,189000,Black,0,2000
282500,나이키 ACG 루퍼스 라임스톤 앤 블랙,FV2923-200,22000,2024-05-10,129000,Brown,0,2000
632282,나이키 에어포스 1 로우 고어텍스 비브람 오프 누아르 앤 블랙,HV5953-001,5915,2025-11-13,209000,Black,0,1667
465724,나이키 리액트X 리주버네이트 트리플 블랙,HV5060-001,6304,2025-01-29,89000,Black,0,2000
741721,나이키 x 니고 에어포스 3 로우 미드나잇 네이비 쉐도우 그레이,HV5032-400,242,2026-02-06,179000,Navy,1,25
266659,나이키 V2K 런 블랙 앤트러사이트,HJ4497-001,51000,2023-11-02,149000,Black,0,2000
557949,나이키 x 톰 삭스 마스야드 슈 3.0 스페이스 캠프,IF2885-100,5251,2025-09-19,339000,Brown,1,1100
501037,나이키 보메로 18 블랙 다크 스모크 그레이,HM6803-005,3948,2025-02-27,179000,Black,0,2000
611602,나이키 x 자크뮈스 문 슈 SP 오프 누아르 캐시미어,HV8547-001,13000,2025-09-29,239000,Black,1,2000
416242,나이키 샥스 R4 화이트 레이서 블루,HQ1988-100,11000,2024-08-06,179000,White,0,2000
788722,나이키 자 3 EP 코발트 블리스 메탈릭 실버,HF2794-400,416,2026-02-13,149000,Grey,0,70
595442,나이키 ACG 파사드 블랙,HM7133-002,6729,2025-07-07,149000,Black,0,727
21438,나이키 샥스 TL 메탈릭 실버,AV3595-100,5024,2019-07-25,246500,White,0,2000
602680,나이키 보메로 플러스 블랙 메탈릭 다크 그레이,HV8150-003,1458,2025-08-07,261000,Black,0,1251
137241,나이키 V2K 런 서밋 화이트 메탈릭 실버,FD0736-100,79000,2023-06-15,149000,Grey,0,2000
611603,나이키 x 자크뮈스 문 슈 SP 유니버시티 레드 앤 바이시클 옐로우,HV8547-600,13000,2025-09-29,239000,Red,1,2000
78768,나이키 에어포스 1 '07 LV8 미드나잇 네이비,DQ7659-101,67000,2022-11-14,139000,Navy,0,2000
754815,나이키 마인드 002 블랙 하이퍼 크림슨,HQ4308-001,759,2026-02-05,179000,Black,0,526
526264,나이키 줌X 스트릭플라이 2 화이트 옵시디언 미스트,HF6416-100,6054,2025-04-24,261000,White,0,1991
402232,나이키 샥스 R4 메탈릭 실버 레드,HQ1988-002,17000,2024-12-05,179000,Grey,0,2000
