product_id,product_name,model_number,wish_count,release_date,release_price,color,is_collaboration,trade_count
12831,나이키 에어포스 1 '07 로우 화이트,315122-111/CW2288-111,236000,2020-03-31,149000,White,0,2000
36,나이키 에어포스 1 '07 로우 트리플 블랙,315122-001/CW2288-001,138000,2020-09-16,149000,Black,0,2000
21935,나이키 에어포스 1 '07 WB 플랙스,CJ9179-200,183000,2019-09-09,169000,Brown,0,2000
748804,나이키 마인드 001 블랙 크롬,HQ4307-001,6617,2026-01-08,119000,Black,0,1452
455940,나이키 샥스 R4 블랙 브라이트 크림슨,HQ1988-001,15000,2025-01-21,217400,Black,0,2000
748809,나이키 마인드 001 라이트 스모크 그레이 크롬,HQ4307-003,4046,2026-01-08,119000,Grey,0,1180
179981,(W) 나이키 에어포스 1 '07 카카오 와우,FQ8901-259,94000,2023-10-01,169000,Brown,0,2000
219423,(W) 나이키 에어포스 1 '07 WB 플랙스 위트,FZ7372-200,58000,2023-12-18,177000,Brown,0,2000
783510,나이키 코비 6 프로트로 3D 다크 그레이 클로린 블루,IQ3902-002,830,2026-02-13,239000,Grey,0,235
507578,나이키 리액트X 리주버네이트 슬라이드 블랙,HV4479-001,5359,2025-04-23,86800,Black,0,2000
777665,나이키 에어맥스 95 빅 버블 성수 포톤 더스트 메탈릭 실버,IQ3363-025,618,2026-02-08,239000,Grey,0,95
783522,나이키 x 시나 에어포스 1 '07 블랙 앤 라이트 스모크 그레이,IO9974-010,635,2026-02-13,169000,Black,1,82
368908,나이키 ACG 이지 카키 앤 블랙,FV4317-200,10000,2024-10-23,159000,green,0,2000
183515,나이키 코트 비전 로우 세일 라이트 오어우드 브라운,FQ8075-133,32000,2023-12-01,136800,Brown,0,2000
218059,나이키 에어포스 1 '07 카카오 와우 코코넛 밀크,FZ3592-259,26000,2023-12-10,139000,Brown,0,2000
23626,나이키 x 슈프림 에어포스 1 로우 블랙,CU9225-001,53000,2020-03-05,170800,Black,1,2000
368749,나이키 줌 플라이 6 화이트 스모크 그레이,FN8454-100,17000,2024-11-01,209000,White,0,2000
23632,나이키 x 슈프림 에어포스 1 로우 화이트,CU9225-100,67000,2020-03-05,170800,White,1,1379
20522,나이키 샥스 TL 블랙 메탈릭 헤마타이트,AV3595-002,9078,2019-05-15,246100,Black,0,2000
750962,나이키 마인드 001 솔라 레드 크롬,HQ4307-600,1334,2026-01-08,119000,Red,0,472
