product_id,release_date,release_price,is_collaboration,color_white,color_black,color_grey,color_brown,color_pink,color_blue,color_navy,color_green,color_red,color_orange,color_yellow,size,golden_size,first_trade_date,days_since_first_trade,trade_date,current_price,premium_ratio,wish_count,wish_per_day,adjusted_wish,google_trend_release,google_trend_n_day,trend_retention,adjusted_google_trend,cum_trade_count_product,status
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,230,0,2023-06-15,0,2023-06-15,268000,0.798657718,79000,80.6122449,80.6122449,85,85,0.988372093,42.25146199,1,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,250,0,2023-06-15,0,2023-06-15,399000,1.677852349,79000,80.6122449,80.6122449,85,85,0.988372093,42.25146199,2,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,240,1,2023-06-15,1,2023-06-16,299000,1.006711409,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,3,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,235,1,2023-06-15,1,2023-06-16,210000,0.409395973,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,4,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,285,0,2023-06-15,1,2023-06-16,290000,0.946308725,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,5,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,255,0,2023-06-15,1,2023-06-16,310000,1.080536913,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,6,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,270,1,2023-06-15,1,2023-06-16,240000,0.610738255,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,7,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,240,1,2023-06-15,1,2023-06-16,171000,0.147651007,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,8,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,245,1,2023-06-15,1,2023-06-16,178000,0.194630872,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,9,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,240,1,2023-06-15,1,2023-06-16,186000,0.248322148,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,10,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,240,1,2023-06-15,1,2023-06-16,182000,0.22147651,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,11,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,270,1,2023-06-15,1,2023-06-16,246000,0.651006711,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,12,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,280,0,2023-06-15,1,2023-06-16,230000,0.543624161,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,13,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,270,1,2023-06-15,1,2023-06-16,300000,1.013422819,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,14,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,240,1,2023-06-15,1,2023-06-16,195000,0.308724832,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,15,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,240,1,2023-06-15,1,2023-06-16,198000,0.32885906,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,16,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,255,0,2023-06-15,1,2023-06-16,180000,0.208053691,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,17,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,240,1,2023-06-15,1,2023-06-16,200000,0.342281879,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,18,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,225,0,2023-06-15,1,2023-06-16,340000,1.281879195,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,19,-
137241,2023-06-15,149000,0,0,0,1,0,0,0,0,0,0,0,0,270,1,2023-06-15,1,2023-06-16,330000,1.214765101,79000,80.6122449,161.2244898,85,85,0.988372093,42.25146199,20,-
